## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/BAM/Sample_02_sorted.bam] OUTPUT=results/BAM/Sample_02_markdup.bam METRICS_FILE=results/QC/Sample_02_markdup.metrics.txt REMOVE_DUPLICATES=false VALIDATION_STRINGENCY=LENIENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 17 22:25:22 WEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	188	976913	936	0	68	11259	355	0.011559	43403948

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000359	953949	0	954302
2.0	1.978455	10944	355	10593
3.0	2.934782	150	0	148
4.0	3.869824	5	0	5
5.0	4.784057	0	0	0
6.0	5.677942	0	0	0
7.0	6.551933	0	0	0
8.0	7.406472	0	0	0
9.0	8.241992	0	0	0
10.0	9.058918	0	0	0
11.0	9.857661	0	0	0
12.0	10.638628	0	0	0
13.0	11.402213	0	0	0
14.0	12.148804	0	0	0
15.0	12.878779	0	0	0
16.0	13.592508	0	0	0
17.0	14.290351	0	0	0
18.0	14.972664	0	0	0
19.0	15.639791	0	0	0
20.0	16.29207	0	0	0
21.0	16.929832	0	0	0
22.0	17.5534	0	0	0
23.0	18.16309	0	0	0
24.0	18.75921	0	0	0
25.0	19.342064	0	0	0
26.0	19.911945	0	0	0
27.0	20.469143	0	0	0
28.0	21.01394	0	0	0
29.0	21.546611	0	0	0
30.0	22.067428	0	0	0
31.0	22.576653	0	0	0
32.0	23.074545	0	0	0
33.0	23.561356	0	0	0
34.0	24.037333	0	0	0
35.0	24.502716	0	0	0
36.0	24.957741	0	0	0
37.0	25.402639	0	0	0
38.0	25.837636	0	0	0
39.0	26.262951	0	0	0
40.0	26.678801	0	0	0
41.0	27.085395	0	0	0
42.0	27.48294	0	0	0
43.0	27.871638	0	0	0
44.0	28.251684	0	0	0
45.0	28.623272	0	0	0
46.0	28.98659	0	0	0
47.0	29.341822	0	0	0
48.0	29.689148	0	0	0
49.0	30.028744	0	0	0
50.0	30.360782	0	0	0
51.0	30.68543	0	0	0
52.0	31.002852	0	0	0
53.0	31.31321	0	0	0
54.0	31.616661	0	0	0
55.0	31.913358	0	0	0
56.0	32.203451	0	0	0
57.0	32.487089	0	0	0
58.0	32.764413	0	0	0
59.0	33.035566	0	0	0
60.0	33.300684	0	0	0
61.0	33.559901	0	0	0
62.0	33.813349	0	0	0
63.0	34.061156	0	0	0
64.0	34.303448	0	0	0
65.0	34.540348	0	0	0
66.0	34.771975	0	0	0
67.0	34.998447	0	0	0
68.0	35.219879	0	0	0
69.0	35.436383	0	0	0
70.0	35.648068	0	0	0
71.0	35.855041	0	0	0
72.0	36.057409	0	0	0
73.0	36.255272	0	0	0
74.0	36.448732	0	0	0
75.0	36.637886	0	0	0
76.0	36.82283	0	0	0
77.0	37.003658	0	0	0
78.0	37.180462	0	0	0
79.0	37.353331	0	0	0
80.0	37.522352	0	0	0
81.0	37.687611	0	0	0
82.0	37.849193	0	0	0
83.0	38.007178	0	0	0
84.0	38.161647	0	0	0
85.0	38.312679	0	0	0
86.0	38.460349	0	0	0
87.0	38.604732	0	0	0
88.0	38.745902	0	0	0
89.0	38.88393	0	0	0
90.0	39.018886	0	0	0
91.0	39.150839	0	0	0
92.0	39.279855	0	0	0
93.0	39.405999	0	0	0
94.0	39.529336	0	0	0
95.0	39.649928	0	0	0
96.0	39.767836	0	0	0
97.0	39.88312	0	0	0
98.0	39.995838	0	0	0
99.0	40.106048	0	0	0
100.0	40.213804	0	0	0

